datetime_function,datetime,residual,MSL
1903,1903-06-01T00:00:00.0,0.7785384615384616,0.19353846153846152
1904,1904-09-01T00:00:00.0,0.6273846153846154,0.12738461538461535
1905,1905-09-01T00:00:00.0,0.8439230769230769,0.10892307692307693
1906,1906-10-01T00:00:00.0,0.7461538461538462,0.13115384615384612
1907,1907-06-01T00:00:00.0,0.7703076923076924,0.14230769230769233
1908,1908-01-01T00:00:00.0,0.8732307692307693,-0.1207692307692308
1909,1909-12-01T00:00:00.0,0.8118461538461538,-0.08115384615384616
1910,1910-04-01T00:00:00.0,0.7126153846153847,0.07861538461538461
1911,1911-09-01T00:00:00.0,0.7531538461538461,0.17415384615384613
1912,1912-09-01T00:00:00.0,0.8881538461538461,0.21515384615384614
1913,1913-10-01T00:00:00.0,1.0818461538461537,0.11584615384615385
1914,1914-01-01T00:00:00.0,0.9803076923076923,-0.02869230769230774
1915,1915-08-01T00:00:00.0,1.6154615384615387,0.15846153846153851
1916,1916-06-01T00:00:00.0,0.8565384615384616,0.15853846153846157
1917,1917-04-01T00:00:00.0,0.873923076923077,-0.04407692307692307
1918,1918-06-01T00:00:00.0,0.8326153846153845,0.09861538461538458
1919,1919-09-01T00:00:00.0,0.7480769230769231,0.09007692307692307
1920,1920-11-01T00:00:00.0,0.8337692307692308,-0.02023076923076922
1921,1921-05-01T00:00:00.0,0.8665384615384615,0.1285384615384615
1922,1922-05-01T00:00:00.0,0.6828461538461539,0.06684615384615383
1923,1923-10-01T00:00:00.0,1.037153846153846,0.02615384615384611
1924,1924-09-01T00:00:00.0,0.977,0.114
1925,1925-12-01T00:00:00.0,0.7586153846153846,-0.1523846153846154
1926,1926-11-01T00:00:00.0,1.1626153846153846,-0.025384615384615394
1927,1927-10-01T00:00:00.0,0.9004615384615384,0.10546153846153844
1928,1928-09-01T00:00:00.0,1.4074615384615385,0.14546153846153848
1929,1929-10-01T00:00:00.0,1.4156153846153847,0.0346153846153846
1930,1930-08-01T00:00:00.0,0.7767692307692308,0.13676923076923075
1931,1931-04-01T00:00:00.0,0.6506923076923077,-0.035307692307692345
1932,1932-11-01T00:00:00.0,0.9283846153846154,0.023384615384615365
1933,1933-08-01T00:00:00.0,2.304538461538461,0.20153846153846153
1934,1934-06-01T00:00:00.0,1.1320769230769232,0.13207692307692312
1935,1935-11-01T00:00:00.0,0.6626153846153846,0.04361538461538464
1936,1936-06-01T00:00:00.0,0.9224615384615384,0.09346153846153848
1937,1937-04-01T00:00:00.0,1.005923076923077,0.054923076923076936
1938,1938-01-01T00:00:00.0,0.8754615384615384,-0.02953846153846154
1939,1939-08-01T00:00:00.0,0.8292307692307692,0.08223076923076923
1940,1940-05-01T00:00:00.0,0.7466153846153846,0.11861538461538464
1941,1941-09-01T00:00:00.0,0.7675384615384615,0.09653846153846155
1942,1942-08-01T00:00:00.0,1.0254615384615384,0.11146153846153847
1943,1943-08-01T00:00:00.0,0.6991538461538462,0.14115384615384616
1944,1944-06-01T00:00:00.0,0.755,0.10800000000000001
1945,1945-09-01T00:00:00.0,0.9693076923076923,0.12530769230769231
1946,1946-10-01T00:00:00.0,0.7860769230769231,0.09707692307692307
1947,1947-09-01T00:00:00.0,0.8428461538461538,0.10484615384615384
1948,1948-05-01T00:00:00.0,0.8303846153846154,0.06538461538461536
1949,1949-05-01T00:00:00.0,0.7376153846153846,0.03961538461538461
1950,1950-11-01T00:00:00.0,1.3492307692307692,0.06323076923076923
1951,1951-03-01T00:00:00.0,0.981923076923077,0.01892307692307693
1952,1952-09-01T00:00:00.0,1.281923076923077,0.08992307692307691
1953,1953-01-01T00:00:00.0,0.8698461538461539,-0.011153846153846153
1954,1954-10-01T00:00:00.0,1.5492307692307692,0.06823076923076923
1955,1955-08-01T00:00:00.0,1.8060769230769231,0.20907692307692308
1956,1956-04-01T00:00:00.0,0.8362307692307692,-0.002769230769230774
1957,1957-06-01T00:00:00.0,0.8316153846153846,0.11861538461538461
1958,1958-04-01T00:00:00.0,0.8443076923076923,0.12130769230769228
1959,1959-10-01T00:00:00.0,0.7501538461538462,0.12215384615384614
1960,1960-06-01T00:00:00.0,0.7066153846153846,0.11761538461538462
1961,1961-02-01T00:00:00.0,0.9154615384615384,-0.041538461538461524
1962,1962-03-01T00:00:00.0,1.097076923076923,0.05707692307692307
1963,1963-09-01T00:00:00.0,0.7392307692307692,0.13823076923076924
1964,1964-01-01T00:00:00.0,0.7006153846153845,-0.11238461538461539
1965,1965-02-01T00:00:00.0,0.8773846153846154,-0.10361538461538462
1966,1966-11-01T00:00:00.0,0.910076923076923,0.017076923076923087
1967,1967-09-01T00:00:00.0,0.7296153846153847,0.08961538461538462
1968,1968-01-01T00:00:00.0,0.8071538461538461,-0.15584615384615388
1969,1969-07-01T00:00:00.0,0.7839999999999999,0.156
1970,1970-04-01T00:00:00.0,0.8461538461538461,0.04115384615384616
1971,1971-10-01T00:00:00.0,0.7213846153846154,0.18238461538461537
1972,1972-06-01T00:00:00.0,0.8923076923076922,0.10330769230769231
1973,1973-10-01T00:00:00.0,0.8846923076923077,0.09869230769230769
1974,1974-12-01T00:00:00.0,1.0829230769230769,-0.01807692307692308
1975,1975-03-01T00:00:00.0,0.8244615384615385,-0.07753846153846154
1976,1976-09-01T00:00:00.0,0.6999230769230769,0.16592307692307692
1977,1977-09-01T00:00:00.0,0.8534615384615385,0.17646153846153848
1978,1978-01-01T00:00:00.0,0.7208461538461538,-0.15615384615384614
1979,1979-09-01T00:00:00.0,1.396923076923077,0.16192307692307692
1980,1980-10-01T00:00:00.0,0.7726923076923078,0.028692307692307698
1981,1981-08-01T00:00:00.0,0.7346923076923078,0.1426923076923077
1982,1982-10-01T00:00:00.0,0.8170769230769231,0.10707692307692308
1983,1983-03-01T00:00:00.0,0.8846153846153846,-0.005384615384615387
1984,1984-04-01T00:00:00.0,0.7616923076923077,0.1366923076923077
1985,1985-11-01T00:00:00.0,1.3356153846153846,0.14761538461538462
1986,1986-12-01T00:00:00.0,0.8867692307692308,-0.07623076923076923
1987,1987-04-01T00:00:00.0,0.7595384615384615,0.09253846153846154
1988,1988-04-01T00:00:00.0,0.771076923076923,0.09707692307692306
1989,1989-09-01T00:00:00.0,1.025076923076923,0.15007692307692308
1990,1990-05-01T00:00:00.0,0.7789230769230768,0.0719230769230769
1991,1991-11-01T00:00:00.0,0.9213076923076924,-0.02069230769230769
1992,1992-12-01T00:00:00.0,0.8733846153846154,-0.12361538461538461
1993,1993-11-01T00:00:00.0,0.838076923076923,-0.036923076923076927
1994,1994-01-01T00:00:00.0,0.693076923076923,-0.22992307692307692
1995,1995-08-01T00:00:00.0,0.7983076923076924,0.1843076923076923
1996,1996-09-01T00:00:00.0,1.2672307692307694,0.20723076923076922
1997,1997-06-01T00:00:00.0,0.6666923076923077,0.12469230769230771
1998,1998-03-01T00:00:00.0,0.8840769230769231,-0.05792307692307692
1999,1999-09-01T00:00:00.0,0.8218461538461539,0.14684615384615385
2000,2000-04-01T00:00:00.0,0.8086153846153846,0.023615384615384614
2001,2001-09-01T00:00:00.0,0.7639230769230769,0.13792307692307693
2002,2002-09-01T00:00:00.0,0.7904615384615384,0.16146153846153843
2003,2003-09-01T00:00:00.0,2.2144615384615385,0.21446153846153845
2004,2004-09-01T00:00:00.0,0.7948461538461539,0.15084615384615385
2005,2005-04-01T00:00:00.0,0.7946153846153846,0.0676153846153846
2006,2006-11-01T00:00:00.0,1.0587692307692307,0.06176923076923076
2007,2007-06-01T00:00:00.0,0.7690769230769231,0.13807692307692307
2008,2008-10-01T00:00:00.0,0.7486923076923078,0.0326923076923077
2009,2009-06-01T00:00:00.0,0.7795384615384615,0.18653846153846154
2010,2010-10-01T00:00:00.0,0.9930769230769231,0.029076923076923084
2011,2011-04-01T00:00:00.0,1.0233076923076923,0.014307692307692327
2012,2012-10-01T00:00:00.0,1.070076923076923,0.0630769230769231
2013,2013-10-01T00:00:00.0,0.6436923076923077,0.14069230769230773
2014,2014-10-01T00:00:00.0,1.0412307692307692,0.13323076923076924
2015,2015-10-01T00:00:00.0,0.786,0.08499999999999998
2016,2016-02-01T00:00:00.0,0.7890769230769231,-0.11592307692307692
2017,2017-10-01T00:00:00.0,0.8077692307692308,0.09576923076923079
2018,2018-03-01T00:00:00.0,0.7870769230769231,-0.10392307692307692
2019,2019-10-01T00:00:00.0,0.8532307692307691,0.14323076923076922
2020,2020-04-01T00:00:00.0,0.8931538461538461,0.013153846153846127
2021,2021-10-01T00:00:00.0,1.1273076923076923,0.1923076923076923
2022,2022-01-01T00:00:00.0,0.7462307692307693,-0.13376923076923078
2023,2023-06-01T00:00:00.0,0.663,0.10299999999999998
